Codigo;Nome;Unidade;Periodo;Inicio;Ultimo;Fonte;Especial
1544;Índice volume de vendas no varejo (2000=100) - Demais artigos de uso pessoal e doméstico - Santa Catarina;Índice;M;31/01/2000;01/12/2003;IBGE;N
108;BTN/UFIR mensal;u.m.c.;M;28/02/1989;01/09/2000;Sisbacen PTAX860;N
109;Fundo de aplicações financeiras - Aplicações em depósitos obrigatórios;u.m.c. (mil);M;30/04/1991;01/11/1995;Sisbacen PFAF300;N
110;Fundo de aplicações financeiras - Aplicações em depósitos inst. títulos TDE;u.m.c. (mil);M;30/04/1991;01/11/1995;Sisbacen PFAF300;N
111;Fundo de aplicações financeiras - Aplicações em operações compromissadas;u.m.c. (mil);M;30/04/1991;01/11/1995;Sisbacen PFAF300;N
112;Fundo de aplicações financeiras - Aplicações em quotas fundos desenvolvimento social;u.m.c. (mil);M;30/04/1991;01/11/1995;Sisbacen PFAF300;N
113;Fundo de aplicações financeiras - Aplicações em títulos do Tesouro Nacional;u.m.c. (mil);M;30/04/1991;01/11/1995;Sisbacen PFAF300;N
114;Fundo de aplicações financeiras - Aplicações em títulos estaduais ou municipais;u.m.c. (mil);M;30/04/1991;01/11/1995;Sisbacen PFAF300;N
115;Fundo de aplicações financeiras - Aplicações em títulos privados;u.m.c. (mil);M;30/04/1991;01/11/1995;Sisbacen PFAF300;N
116;Fundo de aplicações financeiras - Aplicações em títulos de desenvolvimento econômico;u.m.c. (mil);M;30/04/1991;01/11/1995;Sisbacen PFAF300;N
117;Fundo de aplicações financeiras - Aplicações em títulos vinculados a projetos agrícolas;u.m.c. (mil);M;30/04/1991;01/11/1995;Sisbacen PFAF300;N
118;Fundo de aplicações financeiras - Aplicações em letras hipotecárias;u.m.c. (mil);M;30/04/1991;01/11/1995;Sisbacen PFAF300;N
119;Fundo de comodities - Aplicações em export notes;u.m.c. (mil);M;31/12/1992;01/12/1995;Sisbacen PESP300;N
120;Fundo de comodities - Aplicações em CDB/RDB;u.m.c. (mil);M;31/12/1992;01/11/1995;Sisbacen PESP300;N
121;Fundo de comodities - Aplicações em Warrants;u.m.c. (mil);M;31/12/1992;01/11/1995;Sisbacen PESP300;N
122;Fundo de comodities - Aplicações em certificados de mercadorias;u.m.c. (mil);M;31/12/1992;01/12/1995;Sisbacen PESP300;N
123;Fundo de comodities - Aplicações em títulos federais;u.m.c. (mil);M;31/12/1992;01/12/1995;Sisbacen PESP300;N
124;Fundo de comodities - Aplicações em títulos estaduais ou municipais;u.m.c. (mil);M;31/12/1992;01/12/1995;Sisbacen PESP300;N
125;Fundo de comodities - Aplicações em títulos privados;u.m.c. (mil);M;31/12/1992;01/12/1995;Sisbacen PESP300;N
126;Fundo de comodities - Aplicações em quotas FAF;u.m.c. (mil);M;31/12/1992;01/12/1995;Sisbacen PESP300;N
127;Fundo de comodities - Aplicações em notas promissórias;u.m.c. (mil);M;31/12/1992;01/11/1995;Sisbacen PESP300;N
