CODE;NAME;COMMENT;LAST UPDATE;BIG THEME;SOURCE ACRONYM;SOURCE;SOURCE URL;FREQUENCY;MEASURE;UNIT;SERIES STATUS;THEME CODE;COUNTRY;NUMERICA;THEME
CE12_CUTIND12;Utilização da capacidade instalada - indústria - média;"O Nível de Utilização da Capacidade Instalada é compreendido majoritariamente pelas empresas industriais e calculado como o percentual de ocupação dos fatores capital e trabalho na produção industrial.Refere-se ao mês de realização da pesquisa. Nota: A partir de 2005 a pesquisa passa a ser divulgada mensalmente. Antes de 1998 os dados foram encadeados a partir da antiga pesquisa realizada trimestralmente nos meses de janeiro, abril, julho e outubro. Mais Informações: <a href=""../doc/sondagem-da-ind_stria_fgv_aspectos-metodol_gicos_ano-2018.pdf"">Sondagem da Indústria - aspectos conceituais e metodológicos </a>.";2022-07-06 12:08:00.770;Macroeconômico;FGV/Conj. Econ.;Fundação Getulio Vargas, Conjuntura Econômica (FGV/Conj. Econ.);www.fgv.br;Mensal;(%);;A;1;BRA;True;Produção
CNI12_INDE12;Sondagem Industrial - produção indústria geral -  estoques  - evolução - índice;"A Sondagem Industrial é uma sondagem de opinião empresarial realizada mensalmente e foi criada pela Confederação Nacional da Indústria para monitorar a evolução da atividade industrial, do sentimento do empresário e, conseqüentemente, da evolução futura da indústria. A Sondagem Industrial tem como objetivo identificar as situações passadas e tendências futuras da indústria brasileira, gerando indicadores que permitem o acompanhamento da evolução recente da indústria e do sentimento dos empresários industriais. São pesquisadas variáveis dos seguintes tipos: tendência passada, tendência futura, situação, satisfação e principais problemas. Essas variáveis procuram medir o desempenho da indústria e o sentimento do empresário com relação às condições atuais e a tendência futura de sua empresa. Adicionalmente às perguntas referentes à Sondagem Industrial, o questionário inclui seis perguntas utilizadas na construção do Índice de Confiança do Empresário Industrial – ICEI e um bloco de perguntas especiais sobre um tema específico que varia trimestralmente. Mais informações: <a href= ""../doc/sondagemindustrial_metodologia_versao35.pdf "">Sondagem Industrial - Metodologia</a>.";2022-07-15 15:28:00.707;Macroeconômico;CNI;Confederação Nacional da Indústria;www.cni.org.br;Mensal;-;;A;1;BRA;True;Produção
CNI12_INDEE12;Sondagem Industrial - produção industrial - indústria extrativa -  estoques  - evolução - índice;"A Sondagem Industrial é uma sondagem de opinião empresarial realizada mensalmente e foi criada pela Confederação Nacional da Indústria para monitorar a evolução da atividade industrial, do sentimento do empresário e, conseqüentemente, da evolução futura da indústria. A Sondagem Industrial tem como objetivo identificar as situações passadas e tendências futuras da indústria brasileira, gerando indicadores que permitem o acompanhamento da evolução recente da indústria e do sentimento dos empresários industriais. São pesquisadas variáveis dos seguintes tipos: tendência passada, tendência futura, situação, satisfação e principais problemas. Essas variáveis procuram medir o desempenho da indústria e o sentimento do empresário com relação às condições atuais e a tendência futura de sua empresa. Adicionalmente às perguntas referentes à Sondagem Industrial, o questionário inclui seis perguntas utilizadas na construção do Índice de Confiança do Empresário Industrial – ICEI e um bloco de perguntas especiais sobre um tema específico que varia trimestralmente. Mais informações: <a href= ""../doc/sondagemindustrial_metodologia_versao35.pdf "">Sondagem Industrial - Metodologia</a>.";2022-07-15 15:28:00.707;Macroeconômico;CNI;Confederação Nacional da Indústria;www.cni.org.br;Mensal;-;;A;1;BRA;True;Produção
CNI12_INDEP12;Sondagem Industrial - produção industrial - indústria extrativa -  estoques  - efetivo/planejado - índice;"A Sondagem Industrial é uma sondagem de opinião empresarial realizada mensalmente e foi criada pela Confederação Nacional da Indústria para monitorar a evolução da atividade industrial, do sentimento do empresário e, conseqüentemente, da evolução futura da indústria. A Sondagem Industrial tem como objetivo identificar as situações passadas e tendências futuras da indústria brasileira, gerando indicadores que permitem o acompanhamento da evolução recente da indústria e do sentimento dos empresários industriais. São pesquisadas variáveis dos seguintes tipos: tendência passada, tendência futura, situação, satisfação e principais problemas. Essas variáveis procuram medir o desempenho da indústria e o sentimento do empresário com relação às condições atuais e a tendência futura de sua empresa. Adicionalmente às perguntas referentes à Sondagem Industrial, o questionário inclui seis perguntas utilizadas na construção do Índice de Confiança do Empresário Industrial – ICEI e um bloco de perguntas especiais sobre um tema específico que varia trimestralmente. Mais informações: <a href= ""../doc/sondagemindustrial_metodologia_versao35.pdf "">Sondagem Industrial - Metodologia</a>.";2022-07-15 15:28:00.707;Macroeconômico;CNI;Confederação Nacional da Indústria;www.cni.org.br;Mensal;-;;A;1;BRA;True;Produção
CNI12_INDP12;Sondagem Industrial - produção industrial - indústria geral -  estoques  - efetivo/planejado - índice;"A Sondagem Industrial é uma sondagem de opinião empresarial realizada mensalmente e foi criada pela Confederação Nacional da Indústria para monitorar a evolução da atividade industrial, do sentimento do empresário e, conseqüentemente, da evolução futura da indústria. A Sondagem Industrial tem como objetivo identificar as situações passadas e tendências futuras da indústria brasileira, gerando indicadores que permitem o acompanhamento da evolução recente da indústria e do sentimento dos empresários industriais. São pesquisadas variáveis dos seguintes tipos: tendência passada, tendência futura, situação, satisfação e principais problemas. Essas variáveis procuram medir o desempenho da indústria e o sentimento do empresário com relação às condições atuais e a tendência futura de sua empresa. Adicionalmente às perguntas referentes à Sondagem Industrial, o questionário inclui seis perguntas utilizadas na construção do Índice de Confiança do Empresário Industrial – ICEI e um bloco de perguntas especiais sobre um tema específico que varia trimestralmente. Mais informações: <a href= ""../doc/sondagemindustrial_metodologia_versao35.pdf "">Sondagem Industrial - Metodologia</a>.";2022-07-15 15:28:00.707;Macroeconômico;CNI;Confederação Nacional da Indústria;www.cni.org.br;Mensal;-;;A;1;BRA;True;Produção
CNI12_INDTE12;Sondagem Industrial - produção industrial - indústria de transformação -  estoques  - evolução - índice;"A Sondagem Industrial é uma sondagem de opinião empresarial realizada mensalmente e foi criada pela Confederação Nacional da Indústria para monitorar a evolução da atividade industrial, do sentimento do empresário e, conseqüentemente, da evolução futura da indústria. A Sondagem Industrial tem como objetivo identificar as situações passadas e tendências futuras da indústria brasileira, gerando indicadores que permitem o acompanhamento da evolução recente da indústria e do sentimento dos empresários industriais. São pesquisadas variáveis dos seguintes tipos: tendência passada, tendência futura, situação, satisfação e principais problemas. Essas variáveis procuram medir o desempenho da indústria e o sentimento do empresário com relação às condições atuais e a tendência futura de sua empresa. Adicionalmente às perguntas referentes à Sondagem Industrial, o questionário inclui seis perguntas utilizadas na construção do Índice de Confiança do Empresário Industrial – ICEI e um bloco de perguntas especiais sobre um tema específico que varia trimestralmente. Mais informações: <a href= ""../doc/sondagemindustrial_metodologia_versao35.pdf "">Sondagem Industrial - Metodologia</a>.";2022-07-15 15:28:00.707;Macroeconômico;CNI;Confederação Nacional da Indústria;www.cni.org.br;Mensal;-;;A;1;BRA;True;Produção
CNI12_INDTP12;Sondagem Industrial - produção industrial - indústria de transformação -  estoques  - efetivo/planejado - índice;"A Sondagem Industrial é uma sondagem de opinião empresarial realizada mensalmente e foi criada pela Confederação Nacional da Indústria para monitorar a evolução da atividade industrial, do sentimento do empresário e, conseqüentemente, da evolução futura da indústria. A Sondagem Industrial tem como objetivo identificar as situações passadas e tendências futuras da indústria brasileira, gerando indicadores que permitem o acompanhamento da evolução recente da indústria e do sentimento dos empresários industriais. São pesquisadas variáveis dos seguintes tipos: tendência passada, tendência futura, situação, satisfação e principais problemas. Essas variáveis procuram medir o desempenho da indústria e o sentimento do empresário com relação às condições atuais e a tendência futura de sua empresa. Adicionalmente às perguntas referentes à Sondagem Industrial, o questionário inclui seis perguntas utilizadas na construção do Índice de Confiança do Empresário Industrial – ICEI e um bloco de perguntas especiais sobre um tema específico que varia trimestralmente. Mais informações: <a href= ""../doc/sondagemindustrial_metodologia_versao35.pdf "">Sondagem Industrial - Metodologia</a>.";2022-07-15 15:28:00.707;Macroeconômico;CNI;Confederação Nacional da Indústria;www.cni.org.br;Mensal;-;;A;1;BRA;True;Produção
CNI12_NUCAP12;Indicadores Industriais - utilização da capacidade instalada - indústria - índice (média 2006 = 100);"A pesquisa Indicadores Industriais tem o objetivo de mapear a evolução mensal da atividade industrial brasileira. A  pesquisa  Indicadores  Industriais  abrange 12   estados  que respondem por 93,9% do PIB industrial do Brasil e por mais  de 90% do total das   variáveis investigadas. Mais informações: <a href=""../doc/indicadoresindustriais_metodologia_versao_2_5.pdf"">Indicadores Industriais - Metodologia</a>.";2022-07-05 13:08:00.743;Macroeconômico;CNI;Confederação Nacional da Indústria;www.cni.org.br;Mensal;(%);;A;1;BRA;True;Produção
CNI12_NUCAPD12;Indicadores Industriais - utilização da capacidade instalada - indústria - índice dessazonalizado (média 2006 = 100);"A pesquisa Indicadores Industriais tem o objetivo de mapear a evolução mensal da atividade industrial brasileira. A  pesquisa  Indicadores  Industriais  abrange 12   estados  que respondem por 93,9% do PIB industrial do Brasil e por mais  de 90% do total das   variáveis investigadas. Mais informações: <a href=""../doc/indicadoresindustriais_metodologia_versao_2_5.pdf"">Indicadores Industriais - Metodologia</a>.";2022-07-05 13:08:00.743;Macroeconômico;CNI;Confederação Nacional da Indústria;www.cni.org.br;Mensal;(%);;A;1;BRA;True;Produção
ONS12_CONV12;Energia elétrica - geração - térmica convencional - quantidade;"A energia elétrica no Brasil é dada através de uma matriz que é composta por energias renováveis e não renováveis. As renováveis têm seus recursos encontrados na natureza e estes são inesgotáveis ao passo que as não renováveis são esgotáveis. Sendo assim a matriz energética brasileira é composta por hidráulica, eólica, solar e as térmicas que são: gás, carvão, petróleo, nuclear, biomassa e outros. A biomassa, das térmicas, é a única renovável. A Eletrobras tem como atribuição a promoção de estudos, projetos de construção e operação de usinas de geração, linhas de transmissão e distribuição de energia elétrica, bem como a celebração dos atos de comércio decorrentes dessas atividades, como a comercialização de energia elétrica.Geração de energia elétrica é a conversão de uma forma qualquer de energia em energia elétrica.Térmica Convencional é a instalação na qual a energia química, contida em combustíveis fósseis (sólidos, líquidos ou gasosos) é convertida em energia elétrica. Produz energia elétrica com geradores acoplados às máquinas térmicas (motores ou turbinas), as quais obtêm a energia mecânica para movimentá-los a partir da combustão de uma fonte de calor, que pode ser carvão mineral, óleo combustível, gás natural, resíduos industriais, biomassa e outros. Nota: Quadro: Geração de energia. Nos.: Dados referentes ao sistema nacional integrado (SIN). Mais informações:  http://www.ons.org.br/paginas/conhecimento/glossario, <a href=""../doc/NT.EPE.DEA.SEE.005.2021 - BEN _ Manual 2020_vf.pdf"">Balanço Energético Nacional - Manual Metodológico 1ª edição</a> e <a href=""../doc/Anuário Estatístico de Energia Elétrica 2020.pdf"">Anuário Estatístico de Energia Elétrica 2020</a>.";2022-07-04 18:46:00.790;Macroeconômico;ONS;Operador Nacional do Sistema Elétrico (ONS);www.ons.org.br;Mensal;GWh;.;A;1;BRA;True;Produção
