;ES=F;YM=F;NQ=F;RTY=F;ZB=F;ZN=F;ZF=F;ZT=F;GC=F;MGC=F;SI=F;SIL=F;PL=F;HG=F;PA=F;CL=F;HO=F;NG=F;RB=F;BZ=F;B0=F;ZC=F;ZO=F;KE=F;ZR=F;ZM=F;ZL=F;ZS=F;GF=F;HE=F;LE=F;CC=F;KC=F;CT=F;LBS=F;OJ=F;SB=F
2000-01-01;;;;;;;;;;;;;455.0;;484.70001220703125;;;;;;;;120.0;;651.5999755859375;;;;;;;795.0;111.0999984741211;57.86000061035156;;;
2000-02-01;;;;;;;;;;;;;471.70001220703125;;712.0;;;;;;;;119.5;;647.7000122070312;;;;;;;753.0;99.9000015258789;56.599998474121094;;;
2000-03-01;;;;;;;;;;;;;496.3999938964844;;595.5;;;;;;;;122.25;;664.9000244140625;;18.309999465942383;;;;;800.0;103.69999694824219;58.13999938964844;;;5.900000095367432
2000-04-01;;;;;;;;;;;;;500.0;;620.5999755859375;;;;;;;;124.0;;688.4500122070312;;17.610000610351562;;;;;747.0;95.30000305175781;55.709999084472656;;;5.159999847412109
2000-05-01;;;;;;;;;;;;;539.4000244140625;;581.8499755859375;;;;;;;;119.0;;703.4500122070312;176.8000030517578;15.869999885559082;;;;;842.0;93.0;62.63999938964844;;;7.550000190734863
2000-06-01;;;;;;;;99.1796875;;;;;565.5;;647.9500122070312;;;;;;;;103.75;;688.2999877929688;166.8000030517578;15.859999656677246;;;;;820.0;84.8499984741211;50.880001068115234;;;8.5
2000-07-01;;;;;;;;99.3359375;;;;;580.0;;818.0;;;;;;;180.25;106.5;;699.9000244140625;146.8000030517578;15.579999923706055;;;;;825.0;86.44999694824219;59.77000045776367;250.0;;10.399999618530273
2000-08-01;;;;;;;;99.6624984741211;278.29998779296875;;5.002999782562256;;586.7000122070312;0.8849999904632568;716.75;33.099998474121094;;4.78000020980835;;;;182.0;98.0;;627.0;170.8000030517578;15.75;;;;;745.0;74.5;63.369998931884766;221.8000030517578;;10.5600004196167
2000-09-01;1454.0;;3621.0;;98.625;100.21880340576172;100.59380340576172;100.0062484741211;273.6000061035156;;4.89900016784668;;578.7999877929688;0.9154999852180481;714.8499755859375;30.860000610351562;0.9300000071525574;5.199999809265137;;;;192.0;101.0;320.0;631.0;172.6999969482422;15.359999656677246;499.0;;;;797.0;83.0;62.25;230.10000610351562;;9.770000457763672
2000-10-01;1440.75;;3298.0;;99.78125;100.7031021118164;100.71880340576172;100.0625;264.8999938964844;;4.754000186920166;;578.0999755859375;0.8464999794960022;782.0499877929688;32.689998626708984;0.9399999976158142;4.5;;;;196.0;;305.5;620.0;166.6999969482422;14.600000381469727;455.25;;;;755.0;74.4000015258789;62.970001220703125;207.1999969482422;;9.899999618530273
2000-11-01;1321.0;;2530.0;;102.3125;102.7031021118164;101.9375;100.5687484741211;270.1000061035156;;4.673999786376953;;605.9000244140625;0.8410000205039978;819.0;33.79999923706055;1.0499999523162842;6.579999923706055;0.8799999952316284;;;205.0;99.25;309.0;627.0;187.60000610351562;14.430000305175781;502.0;;;;704.0;67.19999694824219;65.2300033569336;234.8000030517578;;9.75
2000-12-01;1327.0;;2374.5;;104.6875;104.8906021118164;103.5781021118164;101.578125;272.0;;4.585000038146973;;609.5999755859375;0.8464999794960022;954.4500122070312;26.799999237060547;0.9065999984741211;9.774999618530273;0.7857999801635742;;;222.5;;330.0;592.0;194.1999969482422;14.5;499.0;;;;758.0;65.55000305175781;62.279998779296875;205.5;;10.199999809265137
2001-01-01;1373.5;;2611.0;;104.375;105.4843978881836;104.2343978881836;102.3125;265.6000061035156;;4.790999889373779;;601.0999755859375;0.8485000133514404;1054.800048828125;28.700000762939453;0.7950000166893005;5.650000095367432;0.8600000143051147;;;208.5;102.75;318.25;575.0;168.0;14.529999732971191;459.75;;;;1020.0;63.75;61.36000061035156;224.39999389648438;;9.949999809265137
2001-02-01;1242.0;;1913.0;;105.84380340576172;106.34380340576172;104.7968978881836;102.53125;266.79998779296875;;4.4720001220703125;;610.0;0.8100000023841858;837.0;27.420000076293945;0.7225000262260437;5.244999885559082;0.7889999747276306;;;211.25;100.25;311.25;597.0;158.0;14.869999885559082;454.75;;;;1131.0;63.900001525878906;52.599998474121094;202.1999969482422;;9.279999732971191
2001-03-01;1174.0;;1588.0;;104.375;106.28130340576172;105.5468978881836;102.9906234741211;257.8999938964844;;4.2779998779296875;;555.0;0.7584999799728394;744.0;26.399999618530273;0.7045000195503235;5.03000020980835;0.9229999780654907;;;206.5;107.0;301.25;540.0;152.0;16.100000381469727;436.0;;;;1073.0;60.29999923706055;45.09000015258789;230.5;;7.75
2001-04-01;1254.25;;1866.5;;100.375;103.7656021118164;104.1406021118164;102.75;264.0;;4.320000171661377;;595.0;0.7664999961853027;688.0;28.459999084472656;0.746999979019165;4.695000171661377;1.129699945449829;;;195.0;109.0;331.0;552.0;150.0;14.609999656677246;422.0;;;;1010.0;61.849998474121094;44.20000076293945;288.3999938964844;;9.5
2001-05-01;1254.5;;1798.5;;100.34380340576172;103.8125;104.125;102.84375;265.29998779296875;;4.395999908447266;;603.0999755859375;0.7519999742507935;639.5499877929688;28.3700008392334;0.7795000076293945;3.9140000343322754;1.0631999969482422;;;190.25;112.5;323.5;574.5;160.5;14.869999885559082;438.0;;;;936.0;57.150001525878906;40.880001068115234;319.70001220703125;;8.550000190734863
2001-06-01;1237.75;;1855.0;;100.09380340576172;102.9843978881836;103.3125;102.5687484741211;270.6000061035156;;4.291999816894531;;560.0999755859375;0.7045000195503235;599.9500122070312;26.25;0.7124999761581421;3.0959999561309814;0.7210999727249146;;;197.25;107.5;293.0;510.0;162.0;15.029999732971191;457.5;;;;974.0;56.099998474121094;42.75;293.29998779296875;;9.59000015258789
2001-07-01;1215.25;;1693.0;;103.84380340576172;106.0;105.375;103.5843734741211;266.20001220703125;;4.210000038146973;;474.3999938964844;0.6779999732971191;461.5;26.350000381469727;0.6973000168800354;3.2960000038146973;0.7321000099182129;;;213.0;134.5;306.75;493.0;173.1999969482422;18.0;496.25;;;;957.0;51.95000076293945;41.900001525878906;314.1000061035156;;7.929999828338623
2001-08-01;1138.5;;1472.5;;106.0625;107.2656021118164;106.21880340576172;104.0374984741211;274.3999938964844;;4.1620001792907715;;443.0;0.6784999966621399;453.0;27.200000762939453;0.7663000226020813;2.380000114440918;0.8057000041007996;;;217.25;139.75;299.0;398.0;164.0;16.729999542236328;474.5;;;;927.0;50.5;37.939998626708984;318.3999938964844;;7.909999847412109
2001-09-01;1043.75;;1175.0;;105.46880340576172;108.71880340576172;108.1718978881836;105.28130340576172;292.3999938964844;;4.646999835968018;;433.29998779296875;0.6460000276565552;357.0;23.43000030517578;0.6635000109672546;2.24399995803833;0.6798999905586243;;;211.75;134.0;292.5;405.0;161.8000030517578;16.030000686645508;460.25;;;;1077.0;48.29999923706055;33.5;242.5;;6.699999809265137
2001-10-01;1056.25;;1369.0;;110.6875;111.75;110.03130340576172;106.125;279.5;;4.214000225067139;;412.5;0.621999979019165;316.3999938964844;21.18000030517578;0.5978999733924866;3.2909998893737793;0.552299976348877;;;201.0;134.0;301.5;360.0;162.0;15.789999961853027;431.0;;;;1017.0;43.900001525878906;29.899999618530273;225.0;;6.739999771118164
2001-11-01;1135.25;;1598.0;;104.625;108.15630340576172;108.1093978881836;105.4531021118164;273.8999938964844;;4.127999782562256;;449.29998779296875;0.722000002861023;350.3999938964844;19.440000534057617;0.5322999954223633;2.7009999752044678;0.5343000292778015;;;202.0;216.5;286.25;401.5;157.0;15.760000228881836;439.5;;;;1355.0;42.599998474121094;37.29999923706055;222.89999389648438;;7.679999828338623
2001-12-01;1149.25;;1583.5;;101.46880340576172;105.1875;105.84380340576172;104.21880340576172;278.70001220703125;;4.578999996185303;;493.0;0.652999997138977;448.0;19.84000015258789;0.5507000088691711;2.569999933242798;0.5724999904632568;;;199.75;132.75;284.0;369.0;147.10000610351562;15.270000457763672;423.75;;;;1310.0;46.20000076293945;35.59000015258789;245.10000610351562;;7.389999866485596
2002-01-01;1130.5;;1553.5;;102.75;105.875;106.0781021118164;104.71880340576172;282.1000061035156;;4.216000080108643;;465.20001220703125;0.7304999828338623;369.0;19.479999542236328;0.5321999788284302;2.1500000953674316;0.5659999847412109;;;206.5;202.0;285.5;372.5;149.89999389648438;15.270000457763672;429.5;;;;1344.0;45.099998474121094;35.47999954223633;268.70001220703125;;6.380000114440918
2002-02-01;1107.0;;1360.5;;104.0625;107.25;107.2656021118164;105.15630340576172;296.70001220703125;;4.497000217437744;;;0.7139999866485596;372.04998779296875;21.850000381469727;0.5699999928474426;2.3550000190734863;0.5879999995231628;;;200.0;225.75;276.75;353.0;154.60000610351562;15.300000190734863;442.5;;;;1466.0;44.75;33.70000076293945;311.0;;5.989999771118164
2002-03-01;1144.75;;1459.5;;98.1875;102.5;103.75;103.27339935302734;302.6000061035156;;4.640999794006348;;515.7000122070312;0.7605000138282776;388.8999938964844;26.229999542236328;0.6690000295639038;3.244999885559082;0.828000009059906;;;207.0;199.0;290.0;372.0;162.5;16.139999389648438;473.5;78.75;51.875;70.42500305175781;1494.0;57.20000076293945;38.15999984741211;295.20001220703125;;5.929999828338623
2002-04-01;1076.0;9930.0;1280.0;;102.3125;105.5625;106.0468978881836;104.55470275878906;308.8999938964844;;4.5320000648498535;;532.5;0.7325000166893005;355.5;27.290000915527344;0.6859999895095825;3.765000104904175;0.8109999895095825;;;193.5;166.75;274.0;350.5;161.89999389648438;16.079999923706055;462.25;75.9000015258789;45.599998474121094;66.69999694824219;1540.0;50.70000076293945;33.349998474121094;286.29998779296875;;5.679999828338623
2002-05-01;1064.0;9905.0;1209.5;;102.28130340576172;106.7343978881836;107.2031021118164;104.89839935302734;326.5;;5.026000022888184;;545.9000244140625;0.7615000009536743;347.3999938964844;25.350000381469727;0.6309999823570251;3.2170000076293945;0.75;;;214.0;185.0;293.0;428.5;168.6999969482422;18.690000534057617;508.75;74.4749984741211;46.75;60.474998474121094;1598.0;51.900001525878906;39.470001220703125;281.0;;5.900000095367432
2002-06-01;988.0;9230.0;1054.0;;102.78130340576172;107.2343978881836;107.4218978881836;105.5156021118164;313.5;;4.833000183105469;;537.2999877929688;0.7674999833106995;319.20001220703125;26.860000610351562;0.6796000003814697;3.244999885559082;0.7937999963760376;;;225.5;205.5;322.5;408.0;180.39999389648438;18.25;536.5;75.5;50.525001525878906;63.400001525878906;1630.0;46.5;46.79999923706055;287.5;;5.909999847412109
2002-07-01;908.0;8705.0;961.5;;105.9375;110.6093978881836;110.3281021118164;106.50779724121094;303.20001220703125;;4.59499979019165;;524.5999755859375;0.6775000095367432;319.45001220703125;27.020000457763672;0.6764000058174133;2.9539999961853027;0.830299973487854;;;247.25;178.5;368.5;464.5;182.3000030517578;20.209999084472656;567.5;76.9749984741211;51.775001525878906;65.0;1787.0;46.79999923706055;46.95000076293945;258.1000061035156;;5.800000190734863
2002-08-01;912.25;8633.0;943.5;;110.875;113.1718978881836;112.03130340576172;106.7968978881836;312.3999938964844;;4.436999797821045;;565.7999877929688;0.6869999766349792;327.79998779296875;28.979999542236328;0.748199999332428;3.2960000038146973;0.8141999840736389;;;259.5;177.5;423.0;395.0;181.60000610351562;20.639999389648438;559.0;79.7249984741211;30.875;64.7249984741211;2012.0;51.5;44.65999984741211;228.3000030517578;;5.980000019073486
2002-09-01;815.0;7570.0;837.0;;114.25;115.90630340576172;114.28130340576172;107.4531021118164;323.8999938964844;;4.53000020980835;;564.5;0.6600000262260437;319.0;30.469999313354492;0.796999990940094;4.139999866485596;0.8059999942779541;;;251.5;134.0;475.25;403.5;170.3000030517578;19.739999771118164;545.75;80.94999694824219;40.20000076293945;67.4000015258789;2191.0;54.5;42.400001525878906;218.60000610351562;;6.889999866485596
2002-10-01;885.5;8350.0;991.5;;110.65630340576172;114.71880340576172;113.7343978881836;107.58589935302734;318.0;;4.499000072479248;;571.7999877929688;0.7139999866485596;310.5;27.219999313354492;0.7437999844551086;4.156000137329102;0.9100000262260437;;;247.5;134.0;463.5;374.0;169.6999969482422;21.84000015258789;565.25;82.44999694824219;43.125;68.4000015258789;1927.0;65.94999694824219;46.25;222.8000030517578;;7.360000133514404
2002-11-01;936.0;8870.0;1117.0;;109.1875;112.5156021118164;111.78130340576172;106.9531021118164;316.79998779296875;;4.414000034332275;;581.9000244140625;0.7494999766349792;266.0;26.889999389648438;0.757099986076355;4.199999809265137;0.7343000173568726;;;240.25;204.0;432.75;408.0;166.10000610351562;22.81999969482422;578.75;82.42500305175781;54.20000076293945;77.9749984741211;1750.0;66.5999984741211;47.5;236.5;;7.409999847412109
2002-12-01;879.0;8331.0;987.0;;112.6875;115.0468978881836;113.25;107.59380340576172;347.6000061035156;;4.801000118255615;;604.4000244140625;0.6970000267028809;238.0;31.200000762939453;0.8654999732971191;4.789000034332275;0.864799976348877;;;235.75;134.0;359.75;385.0;167.3000030517578;21.239999771118164;569.5;81.5999984741211;51.599998474121094;78.9000015258789;2021.0;60.20000076293945;51.15999984741211;217.6999969482422;;7.610000133514404
2003-01-01;854.75;8047.0;984.5;;112.1875;114.1406021118164;112.53130340576172;107.53130340576172;368.29998779296875;;4.853000164031982;;658.9000244140625;0.7914999723434448;259.0;33.5099983215332;0.9588000178337097;5.605000019073486;0.975600004196167;;;238.25;200.25;356.25;443.0;171.60000610351562;20.350000381469727;564.0;80.6500015258789;50.92499923706055;79.9749984741211;2409.0;65.30000305175781;52.36000061035156;273.6000061035156;;8.640000343322754
2003-02-01;841.0;7920.0;1010.5;;115.8125;116.71880340576172;114.3125;108.03910064697266;350.20001220703125;;4.585000038146973;;672.5;0.7749999761581421;243.6999969482422;36.599998474121094;1.2559000253677368;8.10099983215332;1.0377000570297241;;;231.75;221.0;341.0;453.0;177.89999389648438;20.770000457763672;577.0;75.9749984741211;54.54999923706055;75.82499694824219;2080.0;56.849998474121094;48.9900016784668;232.60000610351562;;8.899999618530273
2003-03-01;847.0;7940.0;1021.0;;112.75;114.875;113.5;107.7656021118164;335.8999938964844;;4.460999965667725;;648.4000244140625;0.7124999761581421;182.4499969482422;31.040000915527344;0.7924000024795532;5.059999942779541;0.9444000124931335;;;236.5;189.25;320.75;512.0;171.89999389648438;21.3700008392334;574.5;78.1500015258789;50.32500076293945;75.80000305175781;1960.0;58.650001525878906;57.709999084472656;230.60000610351562;;7.679999828338623
2003-04-01;916.0;8453.0;1108.0;;114.03130340576172;115.125;113.75;107.9531021118164;339.1000061035156;;4.638000011444092;;599.2999877929688;0.7250000238418579;156.0;25.799999237060547;0.7613999843597412;5.385000228881836;0.8428000211715698;;;232.75;156.25;321.5;624.0;194.5;21.829999923706055;623.5;79.7750015258789;57.95000076293945;79.05000305175781;2076.0;68.25;53.95000076293945;233.5;;7.300000190734863
2003-05-01;963.25;8852.0;1199.0;;120.5;119.0625;116.4531021118164;108.3906021118164;364.5;;4.526000022888184;;636.7999877929688;0.7799999713897705;185.0;29.559999465942383;0.7541999816894531;6.25;0.8676999807357788;;;244.25;147.75;327.25;587.0;190.1999969482422;22.06999969482422;624.5;85.30000305175781;64.8499984741211;82.0;1493.0;58.349998474121094;50.58000183105469;253.5;;7.079999923706055
2003-06-01;973.25;8957.0;1204.5;;117.34380340576172;117.4375;115.125;108.14839935302734;346.0;;4.557000160217285;;670.5999755859375;0.7480000257492065;181.35000610351562;30.190000534057617;0.7807999849319458;5.410999774932861;0.8698999881744385;;;228.5;153.25;300.25;580.0;190.8000030517578;21.889999389648438;621.25;86.69999694824219;64.05000305175781;73.2249984741211;1681.0;58.900001525878906;56.20000076293945;285.5;;6.329999923706055
2003-07-01;989.25;9207.0;1279.0;;105.625;110.625;111.3281021118164;107.32029724121094;354.0;;5.116000175476074;;685.7000122070312;0.8180000185966492;182.0;30.540000915527344;0.7932999730110168;4.7179999351501465;0.9016000032424927;;;206.0;139.75;342.25;744.0;168.8000030517578;19.3700008392334;532.5;90.3499984741211;57.29999923706055;78.8499984741211;1465.0;63.45000076293945;56.90999984741211;279.5;;7.210000038146973
2003-08-01;1007.75;9409.0;1342.0;;107.40630340576172;111.53130340576172;111.4843978881836;107.2968978881836;375.70001220703125;;5.109000205993652;;708.5999755859375;0.8029999732971191;201.8000030517578;31.56999969482422;0.8187000155448914;4.730999946594238;1.093000054359436;;;233.25;139.0;365.25;745.0;201.10000610351562;20.81999969482422;595.0;96.93000030517578;54.775001525878906;84.3499984741211;1820.0;61.45000076293945;57.54999923706055;349.5;;6.289999961853027
2003-09-01;994.0;9258.0;1306.0;;112.15630340576172;114.625;113.46880340576172;107.7968978881836;385.3999938964844;;5.13700008392334;;706.9000244140625;0.8130000233650208;215.14999389648438;29.200000762939453;0.7778000235557556;4.829999923706055;0.8827999830245972;;;220.25;134.0;356.75;731.0;199.8000030517578;24.709999084472656;677.25;99.375;55.525001525878906;90.0;1626.0;62.900001525878906;66.75;309.5;;6.199999809265137
2003-10-01;1049.5;9763.0;1418.0;;108.71880340576172;112.2968978881836;111.8125;107.2343978881836;384.5;;5.059000015258789;;754.9000244140625;0.9369999766349792;208.14999389648438;29.110000610351562;0.7857999801635742;4.89300012588501;0.8033999800682068;;;247.25;134.0;366.75;754.5;252.10000610351562;26.09000015258789;794.25;107.30000305175781;53.32500076293945;101.75;1440.0;58.650001525878906;76.7300033569336;279.79998779296875;;5.929999828338623
2003-11-01;1057.75;9787.0;1425.0;;109.28130340576172;112.40630340576172;111.65630340576172;107.10160064697266;396.79998779296875;;5.355000019073486;;;0.9070000052452087;188.8000030517578;30.40999984741211;0.8349000215530396;4.925000190734863;0.8366000056266785;;;245.0;134.0;405.0;841.0;230.39999389648438;26.979999542236328;756.25;99.375;49.95000076293945;102.0;1446.0;57.75;68.0;313.79998779296875;;6.25
2003-12-01;1110.5;10415.0;1468.0;;109.3125;112.2656021118164;111.625;107.02339935302734;415.70001220703125;;5.953000068664551;;811.2999877929688;1.0429999828338623;197.5;32.52000045776367;0.9126999974250793;6.189000129699707;0.9491999745368958;;;246.0;146.25;384.75;854.0;241.89999389648438;27.8700008392334;789.0;78.92500305175781;53.42499923706055;77.19999694824219;1515.0;64.94999694824219;75.06999969482422;312.6000061035156;;5.670000076293945
2004-01-01;1130.0;10468.0;1495.0;;111.34380340576172;113.4375;112.3281021118164;107.25;402.20001220703125;;6.245999813079834;;830.2999877929688;1.1430000066757202;231.5500030517578;33.04999923706055;0.9314000010490417;5.396999835968018;0.9900000095367432;;;276.25;156.75;396.5;806.0;255.60000610351562;29.270000457763672;819.5;88.83000183105469;57.349998474121094;81.0999984741211;1520.0;75.5;70.7300033569336;333.0;;5.860000133514404
2004-02-01;1144.5;10582.0;1471.5;;113.875;115.375;113.7656021118164;107.82029724121094;396.3999938964844;;6.696000099182129;;887.4000244140625;1.343000054359436;229.14999389648438;36.15999984741211;0.9609000086784363;5.415999889373779;1.0950000286102295;;;296.25;156.0;384.25;896.0;279.8999938964844;34.189998626708984;942.5;86.5;62.025001525878906;81.5;1570.0;75.05000305175781;72.0999984741211;385.0;;6.03000020980835
2004-03-01;1125.0;10350.0;1441.5;;114.0625;115.40630340576172;113.5625;107.58589935302734;427.29998779296875;;7.935999870300293;;908.7000122070312;1.3585000038146973;289.95001220703125;35.7599983215332;0.8863999843597412;5.933000087738037;1.149999976158142;;;320.0;174.0;412.5;945.0;314.29998779296875;32.22999954223633;995.0;89.5;66.6500015258789;84.0;1549.0;73.75;62.099998474121094;381.1000061035156;;6.400000095367432
2004-04-01;1106.0;10203.0;1403.0;;107.09380340576172;110.5;109.9375;106.27339935302734;387.0;;6.078000068664551;;863.5;1.2094999551773071;258.29998779296875;37.380001068115234;0.9535999894142151;5.861999988555908;1.25;;;316.5;173.0;394.0;1130.0;318.1000061035156;34.029998779296875;1034.0;96.2249984741211;74.4000015258789;88.30000305175781;1413.0;67.1500015258789;59.5;434.20001220703125;;6.579999923706055
2004-05-01;1121.5;10200.0;1468.0;;106.5625;109.875;109.5625;106.0625;394.0;;6.105000019073486;;;1.277999997138977;257.45001220703125;39.880001068115234;0.9991999864578247;6.441999912261963;1.4366999864578247;;;304.0;147.75;383.0;1017.0;254.8000030517578;28.049999237060547;814.0;106.04000091552734;75.82499694824219;89.25;1465.0;85.55000305175781;61.189998626708984;405.5;;7.059999942779541
2004-06-01;1140.5;10430.0;1521.0;;106.375;109.3281021118164;108.6875;105.8906021118164;392.6000061035156;;5.776000022888184;;;1.2050000429153442;214.9499969482422;37.04999923706055;1.0054999589920044;6.15500020980835;1.159999966621399;;;257.5;132.75;358.5;1006.0;297.5;28.18000030517578;893.0;109.4000015258789;78.94999694824219;87.25;1336.0;73.0999984741211;48.25;376.5;;7.239999771118164
2004-07-01;1101.0;10140.0;1402.5;;108.21880340576172;110.71880340576172;109.5;105.5625;391.0;;6.550000190734863;;817.9000244140625;1.3079999685287476;217.1999969482422;43.79999923706055;1.1568000316619873;6.111999988555908;1.2994999885559082;;;217.25;121.75;333.75;709.0;198.0;22.0;599.5;114.6500015258789;77.75;86.0;1645.0;66.44999694824219;43.83000183105469;422.29998779296875;;8.279999732971191
2004-08-01;1104.0;10173.0;1370.0;;112.53130340576172;113.46880340576172;111.5156021118164;106.3125;410.3999938964844;;6.770999908447266;;868.0999755859375;1.281000018119812;214.3000030517578;42.119998931884766;1.1105999946594238;5.073999881744385;1.1349999904632568;;;227.75;143.75;329.75;793.0;180.8000030517578;26.100000381469727;627.25;112.4000015258789;65.9749984741211;84.2249984741211;1682.0;69.30000305175781;53.79999923706055;440.5;;7.989999771118164
2004-09-01;1115.0;10065.0;1417.5;;112.21880340576172;112.625;110.75;105.97660064697266;418.70001220703125;;6.915999889373779;;861.0;1.399999976158142;224.75;49.63999938964844;1.391700029373169;6.795000076293945;1.3444000482559204;;;205.5;144.25;336.75;704.0;156.1999969482422;20.520000457763672;527.0;114.625;75.0;84.5;1453.0;82.3499984741211;48.099998474121094;336.20001220703125;;8.5
